/BIC/ZVCHDOFIL,TXTSH,TXTMD,TXTLG
1,СПП ВРК-1,Санкт-Петербургское,Санкт-Петербургское представительство ВРК-1
2,РП ВРК-1,Ростовское,Ростовское представительствоВРК-1
3,СМП ВРК-1,Самарское,Самарское представительство ВРК-1
4,НСП ВРК-1,Новосибирское,Новосибирское представительство ВРК-1
5,НГП ВРК-2,Нижегородское,Нижегородское представительство ВРК-2
6,ВП ВРК-2,Воронежское,Воронежское представительство ВРК-2
7,ЕП ВРК-2,Екатеринбургское,Екатеринбургское представительство ВРК-2
8,ХП ВРК-1,Хабаровское,Хабаровское представительство ВРК-1
9,ЯП ВРК-3,Ярославское,Ярославское представительство ВРК-3
10,ЦП ВРК-3,Центральное,Центральное представительство ВРК-3
11,УП ВРК-3,Уральское,Уральское представительство ВРК-3
12,СБП ВРК-3,Сибирское,Сибирское представительство ВРК-3
21,ОП ВРК-2,Октябрьское,Октябрьское представительство ВРК-2
22,МП ВРК-2,Московское,Московское представительство ВРК-2
23,ГП ВРК-2,Горьковское,Горьковское представительство ВРК-2
24,СП ВРК-2,Северное,Северное представительство ВРК-2
25,СКП ВРК-2,Северо-Кавказское,Северо-Кавказское представительство ВРК-2
26,ЮВП ВРК-2,Юго-Восточное,Юго-Восточное представительство ВРК-2
27,ПП ВРК-2,Приволжское,Приволжское представительство ВРК-2
28,КП ВРК-2,Куйбышевское,Куйбышевское представительство ВРК-2
29,СДП ВРК-2,Свердловское,Свердловское представительство ВРК-2
30,ЮУП ВРК-2,Южно-Уральское,Южно-Уральское представительство ВРК-2
31,ЗСП ВРК-2,Западно-Сибирское,Западно-Сибирское представительство ВРК-2
32,ВСП ВРК-2,Восточно-Сибирское,Восточно-Сибирское представительство ВРК-2
33,ЗП ВРК-2,Забайкальское,Забайкальское представительство ВРК-2
34,ДП ВРК-2,Дальневосточное,Дальневосточное представительство ВРК-2
