/BIC/ZVCH_NDSF,TXTSH,TXTMD,TXTLG
0,,,
1,КП,неисправности к.п.,неисправности колесной пары
2,Тележка,неисправности тележ.,неисправности тележки
3,Автосцепка,неисправности а-сцепного оборуд.,неисправности автосцепного оборудования
4,Автотормоз,неисправности а-тормозного оборуд.,неисправности автотормозного оборудования
5,Кузов,неисправности кузова,неисправности кузова
6,Рама,неисправности рамы вагона,неисправности рамы вагона
7,Букс. узел,неисправности буксового узла,неисправности буксового узла
8,Кузов к иск,"неисправности кузова, вед. к исключению","неисправности кузова, ведущие к исключению вагона из инв. па"
9,Прочие,прочие,прочие
10,Досрочно в ДР,досрочная постановка в ДР,досрочная постановка в ДР
11,Досрочно в КР,досрочная постановка в КР,досрочная постановка в КР
