/BIC/ZVCH_OKPO,TXTLG
1,"ООО ""АГРОФИРМА МЕХНАТ"""
2,"ОАО ""ГОМЕЛЬСКИЙ ДСК"""
3,"АО ""АРСЕЛОР МИТТАЛ ТЕМИРТАУ"""
4,"СП ООО ""AGROMIR ZARKENT"""
7,"ООО ""Самарканд Жомбой Шароб"""
8,ОАО Домановский ПТК
10,ИП ДЕМИДОВ
12,"SRL ""IVACOM SERVICE"""
13,PRO LOGISTIC SERVICES'
14,"ООО ""АРАЗ"""
16,"ООО""ТЕК-МЕЛФИ"""
17,"ЗАО ""АЗРУСТРАНС"""
18,"ООО ""ADY EKSPRESS"""
19,REF-TRANS 2013
20,ООО 'BEKTRANS SERVIS'
21,"ООО ""TASHKENTVINO KOMBINATI"""
22,"ЗАО ""SPEDILTA"""
30,"ООО ""ASVEN DISTILERIES"""
31,ЗАО 'VESTAKA'
33,"КПУП ""МОЗЫРСКИЙ ДСК"""
34,ЗАО 'БПА'
35,"ТОО ""СУМЕЙР-2"""
36,"ТОО ""DOSTYK TRANS LOGISTIC"""
37,"ТОО ""ELIM-AI LOGISTICS  """
38,"КУПС ""БРЕСТЖИЛСТРОЙ"""
41,"AS ""SRR """
43,INFLOT
44,ТОО 'МТК-ЕВРАЗ'
47,ТД СВЕТЛОГОРСКИЙ З-Д ЖБИ
48,HOPTRANS PROJECTS
50,"АО ""КАУСТИК"""
52,"ОАО ""БЕЛАРУСЬКАЛИЙ"""
55,ЗАО 'POLEFROST INTERNATIONALE SPEDITION SP.z o.o.'
57,ЗАО 'SEKERIS'
58,BAGAT SP.Z.O.O.'
63,ЗАО 'KAMINERA'
64,ЗАО 'BALTIC TRANSIT RAIL'
65,ЗАО 'BALTKALIS'
67,ЗАО 'ALBE LOGISTIK'
68,АО 'VBT EKSPEDICIJA'
69,ЗАО 'VILNIAUS BAKALEJA'
70,ЗАО ТЕФ 'VILTEDA'
71,ЗАО 'EKSPEDITA'
72,ЗАО 'Trenze Logistics'
73,ЗАО 'LOGISTA'
74,ЗАО 'BOEN LIETUVA'
75,ЗАО 'VPA LOGISTICS'
76,ЗАО 'LASTRA'
77,ЗАО 'AUTOVERSLAS'
78,ЗАО 'FD REM'
79,ЗАО 'EUROFIRE'
80,ЗАО 'KAMTRANSA'
81,ЗАО 'KAZAND'
82,ЗАО 'AHLERS KLAIPEDA'
83,ООО 'INTRANS'
84,ООО ' ДеВИКТОРИ '
85,SIA 'KARLSHAMN EXSPRESS BALTIC'
86,ЗАО 'BALT TRANS SERVIS'
104,"ЗАО ""IMLITEX GRUDAI"""
108,"ЗАС ""HARVEST HOUSE"""
109,АРНОЛД СПЕДИТИОНС ГМБХ
110,ЗАО ИНЛОГИСТА
904,
1258,"ЗАО КОНЦЕРН ""ТРАНСМАШ"""
10263,Межгосударственный Банк
10993,
40778,"ПАО ""ГАЗПРОМ"""
44440,Юкос НК ОАО
64537,"ОАО ""НГК""СЛАВНЕФТЬ"""
67642,Тюменская нефтяная компания ОАО
83262,"ОАО ""РЖД"""
102433,Костромаэнерго ОАО
102798,ОАО 'МОСЭНЕРГО'
103094,"ФЛ ПАО ""ОГК-2"" - РЯЗАНСКАЯ ГРЭС"
105348,"ПАО ""ИРКУТСКЭНЕРГО"""
105414,"ФЛ ПАО ""Вторая генерирующая компания оптового рынк"
105489,ФЛ ОАО 'ЕНИСЕЙСКАЯ ТГК-13 'КРАСНОЯРСКАЯ ТЭЦ-1
106046,Приморскуголь ПО Лучегорское ПТУ
107590,Первоуральская ТЭЦ
107850,"Кировская ТЭЦ N4 филиал ОАО ""Кировэнерго"""
108217,Железнодорожник ОАО
108269,Рефтинская ГРЭС
108298,ТГК-9 ф-л Красногорская ТЭЦ ОАО
108588,Челябинская ГРЭС(Электростанция)
109174,Верхне-Тагильский КСК
109783,"АО ""БМПЗ"""
110332,Бобровский з-д ЖБИ АО(З.Сопка)
110415,Дзержинский ПСФ Мосэнергостроя
110421,ФЛ Черепетский ОАО СПК Мосэнергострой
110527,ОАО 'ЧМЗ'
111248,Завод Ячеистых Бетонов ОАО
112963,ППЖТ ЗАО
118606,СУ Приморской ГРЭС
124713,Саратовгэсстрой ОАО
128332,Нижнекамскресурсы ОАО
135645,"ПАО АНК ""БАШНЕФТЬ"""
136159,"Ухтинская база ПТОиКО ОАО ""Коминефть"""
136219,"ПАО ""ОРЕНБУРГНЕФТЬ"""
136352,"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА"
136739,Альметьевский завод глинопорошка ООО
138744,"ООО ""ТАТНЕФТЕДОР"""
139229,"АО ""ТРАНСНЕФТЬ - СИБИРЬ"""
140847,Ноябрьскторгнефть ООО
148613,"РоснефтьМз""Нефтепродукт"" НК ОАО"
148642,Рязанский НПЗ ОАО
148725,"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ"""
148843,Пермский завод смазок и СОЖ ОАО
148889,Воронежсинтезкаучук ОАО
148990,ОАО 'Нижнекамскшина'
149239,Волжскрезинотехника ЗАОр НП
149245,Курскрезинотехника
149280,ОАО 'БРТ' ('Балаковорезинотехника')
149386,ОАО 'УралАТИ'
149452,Сланцы з-д ОАО
149570,"ОАО ""ТУЙМАЗЫТЕХУГЛЕРОД"""
149682,ОАО 'ТУиР'
149707,Электроуглинский з-д техуглерода ЗАО
149721,"ОАО ""ЯТУ"""
149765,"ОАО ""СЛАВНЕФТЬ-ЯНОС"""
151816,"АО ""ОЗНХ"""
153270,Севергазпром ООО
153761,"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ"""
154223,"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК"""
154341,Газпром трансгаз Екатеринбург ООО
156251,"Бургаз ДООО ОАО ""Газпром"""
157115,Надымгазпром ПО
157670,Приобское УМТСиК ООО `Газпром трансгаз Югорск`
157799,ОЧАКОВСКАЯ БАЗА СЖИЖЕННОГО ГАЗА ФЛ ОАО 'СГ-ТРАНС'
157813,АЛЬМЕТЬЕВСКИЙ ФЛ ПО ТРАНСПОРТУ ГАЗА ОАО 'СГ-ТРАНС'
157836,Самарский ФЛ ОАО 'СГ-транс'
157859,"ОАО ""СГ-транс"" Нижнекамский ф-л"
161039,Приморскуголь ОАО
161186,"ОАО ""АРТЕМОВСКОЕ ППЖТ"""
162748,Интауголь ОАО Компания
164517,Харанорский разрез
164925,"Разрез ""Киселевский"" ОАО"
165563,Александровский машзавод (свр)
166634,"ОАО ""ПТУ"""
166663,"АО ""КПТ"""
186186,Втормет СЗАО (Cт. Уктус)
186217,"ПАО ""СЕВЕРСТАЛЬ"""
186269,"АО ""ЕВРАЗ НТМК"""
186281,ОАО 'Тулачермет'
186335,Лысьвенский металлургический з-д АК ОАО
186341,"АО ""ЧУСОВСКОЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД"""
186387,ОАО 'Метзавод им.А.К.Серова'
186424,"ОАО ""ММК"""
186447,Ашинский металлургический з-д ОАО
186465,Челябинский меткомбинат Мечел ОАО
186476,"ОАО 'Кузнецкие ферросплавы', ОАО 'КФ'"
186499,"АО ""СЗФ"""
186507,"АО ""ЧЭМК"""
186602,ОАО 'ТАГМЕТ'
186619,ОАО 'ПНТЗ'
186625,Северский трубный з-д
186631,Синарский трубный з-д ОАО
186654,"ПАО ""ЧТПЗ"""
186683,"ПАО ""КОКС"""
186720,"ПАО ""КОРШУНОВСКИЙ ГОК"""
186743,"АО ""ОЛКОН"""
186759,"АО ""КОВДОРСКИЙ ГОК"""
186849,Михайловский ГОК ОАО
186938,ОАО 'ЕВРАЗ КГОК'
187085,Первоуральский динасовый з-д
187145,"ПАО ""КОМБИНАТ ""МАГНЕЗИТ"""
187263,Белорецкий меткомбинат ОАО
187547,Челябвтормет ЗАО(Электростанция)
187852,"АО ""МОСКОКС"""
187895,"АО ""ОЭМК"""
188110,"ОАО ""АЛТАЙ-КОКС"""
194056,Южно-Уральский криолитовый завод ОАО
194079,ОАО 'СУБР'
