/BIC/ZVCH_ROAD,TXTSH,TXTLG
0,Нет,Нет дороги
1,ОКТ,Октябрьская
8,ЭСТ,Эстонская
9,ЛАТ,Латвийская
10,КЛГ,Калининградская
12,ЛИТ,Литовская
13,БЕЛ,Белорусская
17,МОСК,Московская
24,ГОРЬК,Горьковская
28,СЕВ,Северная
32,Ю-ЗАП,Юго-Западная
35,ЛЬВ,Львовская
39,МЛД,Молдавская
40,ОД,Одесская
43,ЮЖН,Южная
45,ПРИДН,Приднепровская
48,ДОН,Донецкая
51,С-КАВ,Северо-Кавказская
55,АЗЕРБ,Азербайджанская
56,ЮКЖД,"ЗАО ""Южно-Кавказская ж.д."""
57,ГРЗ,Грузинская
58,Ю-ВОСТ,Юго-Восточная
61,ПРИВ,Приволжская
63,КБШ,Куйбышевская
68,КЗХ,Казахстанская
70,КЫРГ,Кыргызская
73,УЗБК,Узбекские
74,ТАДЖ,Таджикская
75,ТРК,Туркменская
76,СВЕРД,Свердловская
80,Ю-УР,Южно-Уральская
83,З-СИБ,Западно-Сибирская
85,КЖД,"ФГУП ""Крымская железная дор"""
88,КРАС,Красноярская
91,ЖДЯ,"АК ""Железные дороги Якутии"""
92,В-СИБ,Восточно-Сибирская
94,ЗАБ,Забайкальская
96,Д-ВОСТ,Дальневосточная
97,ЗЗв,ОАО «Золотое звено»
99,Сах,Сахалинская
