/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
0,,Отсутствие р.п.,Отсутствие р.п.
1,МОС.УЗ,МОС.УЗЕЛ,МОСКОВСКИЙ УЗЕЛ
2,ЛЕН.УЗ,ЛЕН.УЗЕЛ,ЛЕНИНГРАДСКИЙ УЗЕЛ
1000,ПЕТРЗВ,ПЕТРОЗАВОДСК,ПЕТРОЗАВОДСК
1011,,ПЕТРОЗАВОДСК-ГОЛ,ПЕТРОЗАВОДСК-ГОЛ
1012,,ПЕТРОЗАВОДСК-ТОМ,ПЕТРОЗАВОДСК-ТОМ
1021,ГОЛИКО,ГОЛИКОВКА,ГОЛИКОВКА
1030,ТОМИЦЫ,ТОМИЦЫ,ТОМИЦЫ
1031,ШУЙ.МС,ШУЙСКИЙ МОСТ,ШУЙСКИЙ МОСТ
1032,ТОМИЦЫ,ТОМИЦЫ,ТОМИЦЫ
1033,,БП 417 КМ,БЛОКПОСТ 417 КМ
1034,,ОП 528 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 528 КМ
1040,ШУЙСК,ШУЙСКАЯ,ШУЙСКАЯ
1041,ОП427К,ОП 427 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 427 КМ
1042,ЛУЧЕВ,ЛУЧЕВОЙ,ЛУЧЕВОЙ
1050,СУНА,СУНА,СУНА
1051,ОП437К,ОП 437 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 437 КМ
1060,ЗАДЕЛ,ЗАДЕЛЬЕ,ЗАДЕЛЬЕ
1062,,ОП 454 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 454 КМ
1070,КНДПГА,КОНДОПОГА,КОНДОПОГА
1071,,ОП 468 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 468 КМ
1072,МЯНСЕЛ,МЯНСЕЛЬГА,МЯНСЕЛЬГА
1073,ИЛЕМСЛ,ИЛЕМСЕЛЬГА,ИЛЕМСЕЛЬГА
1080,КЕДРОЗ,КЕДРОЗЕРО,КЕДРОЗЕРО
1081,,ОП 489 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 489 КМ
1082,ЛИЖМА,ЛИЖМА,ЛИЖМА
1083,НВ.ПОС,НОВ.ПОСЕЛОК,НОВЫЙ ПОСЕЛОК
1084,ВИКШЕЗ,ВИКШЕЗЕРО,ВИКШЕЗЕРО
1085,,ОП 522 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 522 КМ
1090,НИГОЗ,НИГОЗЕРО,НИГОЗЕРО
