/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
0,00.00.0000,00.00.0000,,,
0,31.12.9999,01.01.1000,,,
1,00.00.0000,00.00.0000,,,
1,31.12.9999,01.01.1000,,,
2,00.00.0000,00.00.0000,,,
2,31.12.9999,01.01.1000,,,
3,00.00.0000,00.00.0000,Днепропетровский МРГ,Днепропетровский МРГЗ,Днепропетровский металлургический завод
3,31.12.9999,01.01.1000,Днепропетровский МРГ,Днепропетровский МРГ,Днепропетровский МРГЗ
4,31.12.9999,01.01.1000,"АО ""Вологодский ВРЗ""","АО ""Вологодский ВРЗ""","АО ""Вологодский вагоноремонтный завод"""
5,00.00.0000,00.00.0000,"ОАО ""НПК""Уралвагонза","ООО ""Научно-пр. корп. ""Уралвагонзавод""""","ООО ""Научно-производ. корпорация ""Уралвагонзавод"""""
5,31.12.9999,01.01.1000,"АО ""НПК""Уралвагонзав","АО ""НПК""Уралвагонзав","АО ""НПК""Уралвагонзавод"""""
6,00.00.0000,00.00.0000,"Московский завод ""Тp","Московский завод ""Тpансмаш""","Московский завод ""Тpансмаш"""
6,31.12.9999,01.01.1000,ОАО МТЗ ТРАНСМАШ,ОАО МТЗ ТРАНСМАШ,ОАО МТЗ ТРАНСМАШ
7,00.00.0000,00.00.0000,Изюмский ТРЗ,Изюмский ТРЗ,Изюмский тепловозоремонтный завод
7,31.12.9999,01.01.1000,"ООО ""ВП ИТРЗ""","ООО ""ВП ИТРЗ""","ООО ""ВП ИТРЗ"""
8,00.00.0000,00.00.0000,Нижне-Тагильский МРГ,Нижне-Тагильский МРГК,Нижне-Тагильский металлургический комбинат
8,31.12.9999,01.01.1000,"ОАО ""ЕВРАЗ НТМК""","ОАО ""ЕВРАЗ НТМК""","ОАО ""ЕВРАЗ НТМК"""
9,00.00.0000,00.00.0000,Брянский МСЗ,Брянский МСЗ,Брянский машиностpоительный завод
9,31.12.9999,01.01.1000,"АО ""УК ""БМЗ""","АО ""УК ""БМЗ""","АО ""УК ""БМЗ"""
10,00.00.0000,00.00.0000,Алатырский МЗ,Алатырский МЗ,Алатырский механический завод
10,31.12.9999,01.01.1000,Алатырский МЗ,Алатырский МЗ,Алатырский механический завод
11,00.00.0000,00.00.0000,Красноярский ЭВРЗ,Красноярский ЭВРЗ,Красноярский электровагоноремонтный завод
11,31.12.9999,01.01.1000,"ОАО ""КрЭВРЗ""","ОАО ""КрЭВРЗ""","ОАО ""КрЭВРЗ"""
12,00.00.0000,00.00.0000,"ПК ""Бежицкий ст.заво","ООО ПК ""Бежицкий сталелитейный завод""","ООО Промышленная компания ""Бежицкий сталелитейный завод"""
12,31.12.9999,01.01.1000,"ОАО ""ПО ""Бежицкая ст","ОАО ""ПО ""Бежицкая ст","ОАО ""ПО ""Бежицкая сталь"""
13,00.00.0000,00.00.0000,"Завод ""Серп и молот""","Харьковский завод ""Серп и молот""","Харьковский завод ""Серп и молот"""
13,31.12.9999,01.01.1000,"Харьковский завод ""С","Харьковский завод ""С","Харьковский завод ""Серп и молот"""
14,00.00.0000,00.00.0000,"ОАО ""Кременчугский с",ОАО Кременчугский сталелитейный з-д,"Открытое акционерное общество ""Кременчугский сталелитейный з"
14,31.12.9999,01.01.1000,"ОАО ""Кременчугский с","ОАО ""Кременчугский с","Открытое акционерное общество ""Кременчугский сталелитейный з"
15,00.00.0000,00.00.0000,Демиховский МСЗ,Демиховский МСЗ,Демиховский машиностроительный завод
15,31.12.9999,01.01.1000,"ОАО ""ДМЗ""","ОАО ""ДМЗ""","ОАО ""ДМЗ"""
16,00.00.0000,00.00.0000,Пермский МРЗ,Пермский МРЗ,Пермский мотовозоремонтный завод
16,31.12.9999,01.01.1000,ПермскийМРЗ,,
17,00.00.0000,00.00.0000,Полтавский ТРЗ,Полтавский ТРЗ,Полтавский тепловозоремонтный завод
17,31.12.9999,01.01.1000,ПолтавскийТРЗ,,
18,00.00.0000,00.00.0000,Выксунский МРГЗ,Выксунский МРГЗ,Выксунский металлургический завод
18,31.12.9999,01.01.1000,ВыксунскийМРГЗ,,
19,00.00.0000,00.00.0000,Ростовский ЭЛРЗ,Ростовский ЭЛРЗ,Ростовский электроремонтный завод
19,31.12.9999,01.01.1000,РостовскийЭЛРЗ,,
20,00.00.0000,00.00.0000,"ОАО ""Нижнеднепровски",ОАО Нижнеднепровский трубопрокат.з-д,"Открытое акционерное общество ""Нижнеднепровский трубопрокатн"
20,31.12.9999,01.01.1000,"ОАО""Нижнеднепровски",,
