0CALMONTH,CALQUARTER,0CALYEAR,ZVCHNINV,ZVCHNXRMN,ZVCHNXTRD,ZVCHRDAYR,ZVCH_MODL,ZVCH_NETS,ZVCH_NLSD,ZVCH_NLSF,ZVCH_OKPO,ZVCH_OPER,ZVCH_OWNT,ZVCH_RODT,ZVCH_STAT,ZVCH_STMP,ZVCHDOFIL,ZVCH_DO,ZVCH_PLCH,ZVCH_ROAD,ZVCH_TPER,ZVCH_VTYP,0CALDAY,0TIME,ZVCH_INV,ZVKF_NPRD,ZVKF_VBLD
201801,20181,2018,61628038,201801,15.01.2018,15.01.2018,12-132,20,15.01.2018,1,14267669,1,2,6,94910,640,8,1,2,94,7,60,15.01.2018,13:39:00,61628038,360,1
201801,20181,2018,56211204,201801,05.01.2018,05.01.2018,12-9046,20,05.01.2018,1,18853482,1,2,6,94910,640,8,1,2,94,7,60,05.01.2018,13:05:00,56211204,360,1
201801,20181,2018,90848110,201801,17.01.2018,15.01.2018,16-6950,20,17.01.2018,1,93490190,2,1,,80390,819,,,5,80,999,90,15.01.2018,7:10:00,90848110,-1,1
201801,20181,2018,90865247,201801,17.01.2018,15.01.2018,16-6949,20,17.01.2018,1,93490190,2,1,,80390,819,,,5,80,999,90,15.01.2018,7:10:00,90865247,-1,1
201801,20181,2018,61698627,201801,05.01.2018,05.01.2018,12-132,20,05.01.2018,1,75361247,1,2,6,94910,640,8,1,2,94,7,60,05.01.2018,13:04:00,61698627,360,1
201801,20181,2018,55536551,201801,14.01.2018,14.01.2018,12-783,20,14.01.2018,1,18853482,1,2,6,94910,640,8,1,2,94,7,60,14.01.2018,13:12:00,55536551,360,1
201801,20181,2018,62118914,201801,09.01.2018,09.01.2018,12-132-03,20,09.01.2018,1,68398528,1,1,6,94910,640,8,1,2,94,7,60,09.01.2018,12:18:00,62118914,360,1
201801,20181,2018,90847971,201801,17.01.2018,14.01.2018,16-6950,20,17.01.2018,1,93490190,2,1,,80390,819,,,5,80,999,90,14.01.2018,11:05:00,90847971,-1,1
201801,20181,2018,54150396,201801,15.01.2018,15.01.2018,23-469-07,20,15.01.2018,1,94421386,1,1,9,94910,640,8,1,2,94,7,96,15.01.2018,13:38:00,54150396,720,1
201801,20181,2018,60294469,201801,27.01.2018,27.01.2018,12-1302,20,27.01.2018,1,75361247,1,2,6,94910,640,8,1,2,94,7,60,27.01.2018,13:16:00,60294469,360,1
